# Distribution stackscore_dist.dat
#
# total bib_ids with non-zero counts = 2345788
# extra bib_ids with score one = 4722417
# total bib_ids with usage data + extras = 7068205
# sum of all counts = 3469017
#
# col1 = int(count)
# col2 = num_bib_ids
# col3 = fraction of total bib_ids with non-zero counts for this metric
# col4 = fraction of all bib_ids with any usage data
# col5 = example bib_id (prepend: https://newcatalog.library.cornell.edu/catalog/)
1	6932376	2.9552440	0.9807831	-
2	38996	0.0166238	0.0055171	-
3	24793	0.0105692	0.0035077	-
4	12544	0.0053475	0.0017747	-
5	9115	0.0038857	0.0012896	-
6	6765	0.0028839	0.0009571	-
7	5263	0.0022436	0.0007446	-
8	4089	0.0017431	0.0005785	-
9	3559	0.0015172	0.0005035	-
10	2933	0.0012503	0.0004150	-
11	2429	0.0010355	0.0003437	-
12	2103	0.0008965	0.0002975	-
13	1748	0.0007452	0.0002473	-
14	1558	0.0006642	0.0002204	-
15	1182	0.0005039	0.0001672	-
16	1320	0.0005627	0.0001868	-
17	1032	0.0004399	0.0001460	-
18	925	0.0003943	0.0001309	-
19	887	0.0003781	0.0001255	-
20	735	0.0003133	0.0001040	-
21	722	0.0003078	0.0001021	-
22	624	0.0002660	0.0000883	-
23	569	0.0002426	0.0000805	-
24	490	0.0002089	0.0000693	-
25	490	0.0002089	0.0000693	-
26	482	0.0002055	0.0000682	-
27	389	0.0001658	0.0000550	-
28	376	0.0001603	0.0000532	-
29	367	0.0001565	0.0000519	-
30	349	0.0001488	0.0000494	-
31	329	0.0001403	0.0000465	-
32	274	0.0001168	0.0000388	-
33	275	0.0001172	0.0000389	-
34	236	0.0001006	0.0000334	-
35	264	0.0001125	0.0000374	-
36	253	0.0001079	0.0000358	-
37	226	0.0000963	0.0000320	-
38	228	0.0000972	0.0000323	-
39	192	0.0000818	0.0000272	-
40	201	0.0000857	0.0000284	-
41	196	0.0000836	0.0000277	-
42	168	0.0000716	0.0000238	-
43	170	0.0000725	0.0000241	-
44	196	0.0000836	0.0000277	-
45	160	0.0000682	0.0000226	-
46	150	0.0000639	0.0000212	-
47	135	0.0000575	0.0000191	-
48	155	0.0000661	0.0000219	-
49	129	0.0000550	0.0000183	-
50	142	0.0000605	0.0000201	-
51	140	0.0000597	0.0000198	-
52	124	0.0000529	0.0000175	-
53	131	0.0000558	0.0000185	-
54	122	0.0000520	0.0000173	-
55	136	0.0000580	0.0000192	-
56	117	0.0000499	0.0000166	-
57	114	0.0000486	0.0000161	-
58	123	0.0000524	0.0000174	-
59	113	0.0000482	0.0000160	-
60	109	0.0000465	0.0000154	-
61	104	0.0000443	0.0000147	-
62	118	0.0000503	0.0000167	-
63	112	0.0000477	0.0000158	-
64	100	0.0000426	0.0000141	-
65	113	0.0000482	0.0000160	-
66	110	0.0000469	0.0000156	-
67	106	0.0000452	0.0000150	-
68	106	0.0000452	0.0000150	-
69	104	0.0000443	0.0000147	-
70	109	0.0000465	0.0000154	-
71	102	0.0000435	0.0000144	-
72	105	0.0000448	0.0000149	-
73	114	0.0000486	0.0000161	-
74	100	0.0000426	0.0000141	-
75	96	0.0000409	0.0000136	-
76	101	0.0000431	0.0000143	-
77	107	0.0000456	0.0000151	-
78	95	0.0000405	0.0000134	-
79	103	0.0000439	0.0000146	-
80	101	0.0000431	0.0000143	-
81	94	0.0000401	0.0000133	-
82	90	0.0000384	0.0000127	-
83	91	0.0000388	0.0000129	-
84	91	0.0000388	0.0000129	-
85	87	0.0000371	0.0000123	-
86	79	0.0000337	0.0000112	-
87	82	0.0000350	0.0000116	-
88	79	0.0000337	0.0000112	-
89	79	0.0000337	0.0000112	-
90	78	0.0000333	0.0000110	-
91	76	0.0000324	0.0000108	-
92	73	0.0000311	0.0000103	-
93	76	0.0000324	0.0000108	-
94	73	0.0000311	0.0000103	-
95	75	0.0000320	0.0000106	-
96	71	0.0000303	0.0000100	-
97	72	0.0000307	0.0000102	-
98	72	0.0000307	0.0000102	-
99	72	0.0000307	0.0000102	-
100	71	0.0000303	0.0000100	-
